id,date,ligne,four,probleme,equipement,famille,duree_min,source,famille_norm,equipement_norm,famille_affichage,equipement_affichage
1771,2024-08-14,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°5,20.0,import_2024,section n°5,rippeur,Section n°5,rippeur
1772,2024-08-15,L13,Four 1,Bras de transfert,bras de transfert,Section n°2,15.0,import_2024,section n°2,bras de transfert,Section n°2,bras de transfert
1773,2024-08-15,L13,Four 1,Bras de transfert,bras de transfert,Section n°2,15.0,import_2024,section n°2,bras de transfert,Section n°2,bras de transfert
1774,2024-08-15,L13,Four 1,Changement rippeur,rippeur,Section n°8,15.0,import_2024,section n°8,rippeur,Section n°8,rippeur
1775,2024-08-15,L13,Four 1,Changement rippeur,rippeur,Section n°3,15.0,import_2024,section n°3,rippeur,Section n°3,rippeur
1776,2024-08-15,L13,Four 1,Changement rippeur,rippeur,Section n°4,15.0,import_2024,section n°4,rippeur,Section n°4,rippeur
1777,2024-08-15,L13,Four 1,Mise a niveau bras de transfert,bras de transfert,Section n°6,20.0,import_2024,section n°6,bras de transfert,Section n°6,bras de transfert
1778,2024-08-16,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°6,30.0,import_2024,section n°6,rippeur,Section n°6,rippeur
1779,2024-08-16,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°5,30.0,import_2024,section n°5,rippeur,Section n°5,rippeur
1780,2024-08-16,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°4,30.0,import_2024,section n°4,rippeur,Section n°4,rippeur
1781,2024-08-16,L13,Four 1,centrage téte compression,compression,Section n°5,30.0,import_2024,section n°5,compression,Section n°5,compression
1782,2024-08-16,L13,Four 1,Mise a niveau bras de transfert,bras de transfert,Section n°4,30.0,import_2024,section n°4,bras de transfert,Section n°4,bras de transfert
1783,2024-08-18,L13,Four 1,Changement charnieres Eb,charniéres,Section n°2,10.0,import_2024,section n°2,charniéres,Section n°2,charniéres
1784,2024-08-18,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°5,15.0,import_2024,section n°5,rippeur,Section n°5,rippeur
1785,2024-08-18,L13,Four 1,Mauvaise fonctionnement rippeur,rippeur,Section n°3,15.0,import_2024,section n°3,rippeur,Section n°3,rippeur
1786,2024-08-18,L13,Four 1,Changement rippeur,rippeur,Section n°5,45.0,import_2024,section n°5,rippeur,Section n°5,rippeur
1787,2024-08-20,L13,Four 1,Flexible verti-flow,verti-flow,Section n°8,15.0,import_2024,section n°8,verti-flow,Section n°8,verti-flow
